Order ID,Order Date,Delivery Date,Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded
LC1000,8/29/2025,8/30/2025,Joy Wanjiku,N.G.O,54,Nyanza,Kisumu,Kisumu,Kisumu,Mary Wanjiku,Walk-In,Toyota,Prado Tx,SUV,2016,petrol,manual,black,3,8136000,6986000,7 %,39000,56000,CASH,paid,at the yard,4.5,2,NO,22738440
LCL1001,1/19/2026,null,Carol Maina,Corporate,46,Western,Kakamega,Kakamega,Kakamega,Mary WanjiKu,Facebook,Toyota,Prado Tx,SUV,2016,diesel,automatic,pearl,3,6708000,5566000,10%,162000,213000,ASSET FINANCING,completed,held,4.5,17,Not Provided,9140000
LCL1002,3/26/2025,4/6/2025,Naomi Muthoni,Individual,46,Rift Valley,Nakuru,Nakuru,Nakuru,DaniEl Kimani,Facebook,Mitsubishi,Outlander,SUV,2018,petrol,automatic,green,1,3326000,2562000,10%,51000,82000,CASH,paid,delayed,4.4,36,YES,3044400
LCL1003,2/15/2026,null,Carol Ochieng,Government,42,Western,Kakamega,Kakamega,Kakamega,Samuel Mutua,Website,Toyota,Fielder,WAGON,2018,petrol,automatic,red,1,1840000,1661000,3%,88000,118000,CHEQUE,pending,in-transit,2.5,null,NO,1872800
ORD1004,3/17/2026,3/20/2026,Samuel Mutua,Individual,64,Nairobi,Nairobi,Nairobi,Nairobi,Grace Njeri,Whatsapp,Mitsubishi,Pajero,SUV,2023,hybrid/petrol,automatic,blue,1,4783000,4203000,2%,75000,null,CASH,paid,done,4.4,42,NO,4762340
LC1005,1/17/2025,2/10/2025,Carol Mwangi,Company,27,Western,Kakamega,Kakamega,Kakamega,Samuel Mutua,Phone Call,Isuzu,D-Max,PICKUP,2023,petrol,automatic,green,3,4200000,3456000,5%,112000,148000,CASH,pending,delivered,4.5,1,YES,12073450
LC1006,10/20/2025,10/27/2025,James Muthoni,Government,48,Central,Kiambu,Thika,Thika,Faith Achieng,Instagram,Nissan,Juke,CROSSOVER,2026,petrol,automatic,pearl,1,2166000,1847000,0%,80000,100000,ASSET FINANCING,pending,delivered,2.5,10,Not Provided,2244000
LCL1007,null,1/19/2025,Kevin Maina,Car Dealer,44,Western,Kakamega,Kakamega,Kakamega,Aisha Mohamed,Whatsapp,Volkswagen,Golf,HATCHBACK,2026,petrol,manual,pearl,2,2084000,1736000,12%,20000,42000,RTGS,cancelled,cancelled,null,18,NO,1627199
ORD1008,2/21/2025,5/10/2025,Winnie Kiptoo,N.G.O,22,Central,Kiambu,Thika,Thika,FaiTh Achieng,Facebook,Mercedes Benz,E250,SALOON,2020,diesel,manual,green,2,6770000,5980000,7%,174000,207000,CASH,partially paid,delayed,3.8,17,NO,12766200
ORD1009,4/9/2025,null,Mercy Wanjiku,Corporate,45,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Kevin Mwangi,Tender,Honda,Vezel,CROSSOVER,null,hybrid,automatic,black,1,2920000,2588000,7%,140000,188000,M-PESA,completed,cancelled,null,1,NO,null
ORD1010,null,5/1/2026,Daniel Wafula,Corporate,38,Westernen,Kakamega,Kakamega,Kakamega,Samuel Mutua,Tender,BMW,320I,SEDAN,2026,diesel,automatic,silver,1,3942000,3297000,7 %,29000,75000,ASSET FINANCING,paid,delivered,3.5,null,YES,3695059
LCL1011,6/2/2025,null,Grace Mutua,Government,30,Nairobi,Nairobi,Nairobi,Nairobi,Kevin Mwangi,Facebook,Toyota,Corolla,SEDAN,2026,petrol,manual,pearl,1,1932000,1648000,10%,114000,120000,CHEQUE,paid,completed,3.5,9,YES,1814160
LC1012,10/11/2025,null,Samuel Nyambura,Retail,53,Eastern,Machakos,Athi River,Athi River,Brian Otieno,Walk-In,Toyota,Harrier,SUV,null,petrol,automatic,pearl,2,4721000,3990000,3%,103000,null,CHEQUE,pending,delivered,3.9,19,NO,9261740
LCL1013,5/14/2026,null,Brian Mwangi,Car Dealer,47,Rift Valley,Uasin Gishu,Eldoret,Eldoret,Grace Njeri,Walk-In,BMW,X5,SUV,2021,diesel,automatic,white,3,10695000,9240000,5%,43000,42000,BANK TRANSFER,cancelled,cancelled,4.2,9,YES,0
LCL1014,4/21/2025,5/19/2025,Brian Kimani,Government,60,Western,Kakamega,Kakamega,Kakamega,Grace Njeri,Tender,Subaru,XV,CROSSOVER,2023,petrol,automatic,red,4,2637000,null,5 %,0,37000,M-PESA,completed,at the yard,5,22,NO,10079600
ORD1015,null,null,James Kariuki,N.G.O,68,Nyanza,Kisumu,Kisumu,Kisumu,Grace,Walk-In,Honda,Vezel,CROSSOVER,2024,petrol,automatic,white,1,2745000,2428000,null,null,142000,BANK,paid,delivered,3.8,6,YES,1231625
CAR1016,null,2/23/2026,Brian Ochieng,Car Dealer,61,Rift Valley,Nakuru,Nakuru,Nakuru,Mercy Atieno,Tender,Subaru,Forester,SUV,2018,petrol,automatic,black,3,3220000,2480000,0.15,17000,30000,CHEQUE,paid,done,4,9,NO,8228000
LCL1017,2/12/2025,2/15/2025,Kevin Mwangi,Individual,63,Rift Valley,Nakuru,Nakuru,Nakuru,KeviN Mwangi,Walk-In,Toyota,LC200,SUV,2023,petrol,automatic,green,1,13290000,10535000,12%,0,null,M-PESA,pending,in-transit,3.5,29,NO,11794600
